"Polygon_Number","Coordinate_Order","Coordinate_ID","Longitude","Latitude"
"1",1,"1_1",-4.8,44
"1",2,"1_2",-4.75,44
"1",3,"1_3",-4.7,44
"1",4,"1_4",-4.7,44.025
"1",5,"1_5",-4.7,44.05
"1",6,"1_6",-4.675,44.05
"1",7,"1_7",-4.675,44.025
"1",8,"1_8",-4.675,44
"1",9,"1_9",-4.65,44
"1",10,"1_10",-4.6,44
"1",11,"1_11",-4.6,44.05
"1",12,"1_12",-4.55,44.05
"1",13,"1_13",-4.5,44.05
"1",14,"1_14",-4.5,44.1
"1",15,"1_15",-4.5,44.15
"1",16,"1_16",-4.525,44.15
"1",17,"1_17",-4.525,44.15
"1",18,"1_18",-4.55,44.15
"1",19,"1_19",-4.575,44.15
"1",20,"1_20",-4.6,44.15
"1",21,"1_21",-4.65,44.15
"1",22,"1_22",-4.7,44.15
"1",23,"1_23",-4.75,44.15
"1",24,"1_24",-4.775,44.15
"1",25,"1_25",-4.8,44.15
"1",26,"1_26",-4.825,44.15
"1",27,"1_27",-4.85,44.15
"1",28,"1_28",-4.875,44.15
"1",29,"1_29",-4.9,44.15
"1",30,"1_30",-4.925,44.15
"1",31,"1_31",-4.95,44.15
"1",32,"1_32",-4.975,44.15
"1",33,"1_33",-5,44.15
"1",34,"1_34",-5.025,44.15
"1",35,"1_35",-5.05,44.15
"1",36,"1_36",-5.075,44.15
"1",37,"1_37",-5.1,44.15
"1",38,"1_38",-5.125,44.15
"1",39,"1_39",-5.15,44.15
"1",40,"1_40",-5.175,44.15
"1",41,"1_41",-5.2,44.15
"1",42,"1_42",-5.2,44.1
"1",43,"1_43",-5.2,44.075
"1",44,"1_44",-5.2,44.05
"1",45,"1_45",-5.2,44.025
"1",46,"1_46",-5.2,44
"1",47,"1_47",-5.15,44
"1",48,"1_48",-5.1,44
"1",49,"1_49",-5.05,44
"1",50,"1_50",-5,44
"1",51,"1_51",-4.95,44
"1",52,"1_52",-4.9,44
"1",53,"1_53",-4.85,44
"1",54,"1_54",-4.8,44
"2",1,"2_1",-13.775,56.7
"2",2,"2_2",-13.775,56.7
"2",3,"2_3",-13.775,56.675
"2",4,"2_4",-13.75,56.675
"2",5,"2_5",-13.75,56.7
"2",6,"2_6",-13.775,56.7
"3a",1,"3a_1",-14.975,55.95
"3a",2,"3a_2",-14.975,55.95
"3a",3,"3a_3",-14.975,55.925
"3a",4,"3a_4",-14.95,55.925
"3a",5,"3a_5",-14.925,55.925
"3a",6,"3a_6",-14.9,55.925
"3a",7,"3a_7",-14.875,55.925
"3a",8,"3a_8",-14.875,55.9
"3a",9,"3a_9",-14.875,55.875
"3a",10,"3a_10",-14.875,55.85
"3a",11,"3a_11",-14.875,55.825
"3a",12,"3a_12",-14.85,55.825
"3a",13,"3a_13",-14.825,55.825
"3a",14,"3a_14",-14.8,55.825
"3a",15,"3a_15",-14.775,55.825
"3a",16,"3a_16",-14.775,55.85
"3a",17,"3a_17",-14.775,55.875
"3a",18,"3a_18",-14.75,55.875
"3a",19,"3a_19",-14.725,55.875
"3a",20,"3a_20",-14.725,55.9
"3a",21,"3a_21",-14.725,55.9
"3a",22,"3a_22",-14.75,55.9
"3a",23,"3a_23",-14.75,55.95
"3a",24,"3a_24",-14.725,55.95
"3a",25,"3a_25",-14.725,55.975
"3a",26,"3a_26",-14.725,56
"3a",27,"3a_27",-14.725,56.025
"3a",28,"3a_28",-14.725,56.05
"3a",29,"3a_29",-14.725,56.075
"3a",30,"3a_30",-14.7,56.075
"3a",31,"3a_31",-14.675,56.075
"3a",32,"3a_32",-14.675,56.05
"3a",33,"3a_33",-14.675,56.025
"3a",34,"3a_34",-14.65,56.025
"3a",35,"3a_35",-14.625,56.025
"3a",36,"3a_36",-14.6,56.025
"3a",37,"3a_37",-14.6,56.05
"3a",38,"3a_38",-14.575,56.05
"3a",39,"3a_39",-14.575,56.075
"3a",40,"3a_40",-14.575,56.1
"3a",41,"3a_41",-14.575,56.125
"3a",42,"3a_42",-14.6,56.125
"3a",43,"3a_43",-14.625,56.125
"3a",44,"3a_44",-14.65,56.125
"3a",45,"3a_45",-14.675,56.125
"3a",46,"3a_46",-14.675,56.15
"3a",47,"3a_47",-14.675,56.175
"3a",48,"3a_48",-14.7,56.175
"3a",49,"3a_49",-14.7,56.15
"3a",50,"3a_50",-14.75,56.15
"3a",51,"3a_51",-14.75,56.1
"3a",52,"3a_52",-14.8,56.1
"3a",53,"3a_53",-14.85,56.1
"3a",54,"3a_54",-14.85,56.05
"3a",55,"3a_55",-14.875,56.05
"3a",56,"3a_56",-14.875,56.05
"3a",57,"3a_57",-14.875,56.025
"3a",58,"3a_58",-14.9,56.025
"3a",59,"3a_59",-14.9,56
"3a",60,"3a_60",-14.9,55.95
"3a",61,"3a_61",-14.95,55.95
"3a",62,"3a_62",-14.975,55.95
"3b",1,"3b_1",-14.4,56.425
"3b",2,"3b_2",-14.375,56.425
"3b",3,"3b_3",-14.35,56.425
"3b",4,"3b_4",-14.325,56.425
"3b",5,"3b_5",-14.325,56.45
"3b",6,"3b_6",-14.325,56.475
"3b",7,"3b_7",-14.325,56.5
"3b",8,"3b_8",-14.325,56.5
"3b",9,"3b_9",-14.35,56.5
"3b",10,"3b_10",-14.35,56.45
"3b",11,"3b_11",-14.4,56.45
"3b",12,"3b_12",-14.4,56.425
"3b",13,"3b_13",-14.4,56.425
"3c",1,"3c_1",-14.3,56.525
"3c",2,"3c_2",-14.3,56.525
"3c",3,"3c_3",-14.275,56.525
"3c",4,"3c_4",-14.25,56.525
"3c",5,"3c_5",-14.225,56.525
"3c",6,"3c_6",-14.2,56.525
"3c",7,"3c_7",-14.175,56.525
"3c",8,"3c_8",-14.15,56.525
"3c",9,"3c_9",-14.125,56.525
"3c",10,"3c_10",-14.125,56.55
"3c",11,"3c_11",-14.125,56.575
"3c",12,"3c_12",-14.1,56.575
"3c",13,"3c_13",-14.075,56.575
"3c",14,"3c_14",-14.075,56.55
"3c",15,"3c_15",-14.075,56.525
"3c",16,"3c_16",-14.075,56.5
"3c",17,"3c_17",-14.075,56.475
"3c",18,"3c_18",-14.075,56.45
"3c",19,"3c_19",-14.05,56.45
"3c",20,"3c_20",-14.05,56.5
"3c",21,"3c_21",-14,56.5
"3c",22,"3c_22",-13.975,56.5
"3c",23,"3c_23",-13.975,56.525
"3c",24,"3c_24",-13.975,56.55
"3c",25,"3c_25",-13.975,56.575
"3c",26,"3c_26",-13.975,56.6
"3c",27,"3c_27",-13.975,56.625
"3c",28,"3c_28",-14,56.625
"3c",29,"3c_29",-14.025,56.625
"3c",30,"3c_30",-14.025,56.65
"3c",31,"3c_31",-14.025,56.667
"3c",32,"3c_32",-14.05,56.667
"3c",33,"3c_33",-14.05,56.65
"3c",34,"3c_34",-14.1,56.65
"3c",35,"3c_35",-14.15,56.65
"3c",36,"3c_36",-14.15,56.6
"3c",37,"3c_37",-14.167,56.6
"3c",38,"3c_38",-14.167,56.577
"3c",39,"3c_39",-14.2,56.577
"3c",40,"3c_40",-14.2,56.55
"3c",41,"3c_41",-14.25,56.55
"3c",42,"3c_42",-14.3,56.55
"3c",43,"3c_43",-14.3,56.525
"3d",1,"3d_1",-14,56.675
"3d",2,"3d_2",-14,56.675
"3d",3,"3d_3",-13.975,56.675
"3d",4,"3d_4",-13.95,56.675
"3d",5,"3d_5",-13.925,56.675
"3d",6,"3d_6",-13.9,56.675
"3d",7,"3d_7",-13.875,56.675
"3d",8,"3d_8",-13.875,56.7
"3d",9,"3d_9",-13.875,56.7
"3d",10,"3d_10",-13.95,56.7
"3d",11,"3d_11",-14,56.7
"3d",12,"3d_12",-14,56.675
"3e",1,"3e_1",-15.216,55.85
"3e",2,"3e_2",-15.217,55.849
"3e",3,"3e_3",-15.218,55.847
"3e",4,"3e_4",-15.229,55.835
"3e",5,"3e_5",-15.23,55.833
"3e",6,"3e_6",-15.231,55.833
"3e",7,"3e_7",-15.232,55.831
"3e",8,"3e_8",-15.236,55.828
"3e",9,"3e_9",-15.237,55.827
"3e",10,"3e_10",-15.25,55.814
"3e",11,"3e_11",-15.251,55.812
"3e",12,"3e_12",-15.255,55.809
"3e",13,"3e_13",-15.256,55.808
"3e",14,"3e_14",-15.263,55.801
"3e",15,"3e_15",-15.264,55.8
"3e",16,"3e_16",-15.267,55.797
"3e",17,"3e_17",-15.268,55.796
"3e",18,"3e_18",-15.269,55.795
"3e",19,"3e_19",-15.275,55.789
"3e",20,"3e_20",-15.275,55.775
"3e",21,"3e_21",-15.25,55.775
"3e",22,"3e_22",-15.225,55.775
"3e",23,"3e_23",-15.2,55.775
"3e",24,"3e_24",-15.175,55.775
"3e",25,"3e_25",-15.175,55.8
"3e",26,"3e_26",-15.175,55.825
"3e",27,"3e_27",-15.15,55.825
"3e",28,"3e_28",-15.125,55.825
"3e",29,"3e_29",-15.1,55.825
"3e",30,"3e_30",-15.075,55.825
"3e",31,"3e_31",-15.075,55.85
"3e",32,"3e_32",-15.075,55.875
"3e",33,"3e_33",-15.075,55.9
"3e",34,"3e_34",-15.075,55.9
"3e",35,"3e_35",-15.1,55.9
"3e",36,"3e_36",-15.15,55.9
"3e",37,"3e_37",-15.172,55.9
"3e",38,"3e_38",-15.172,55.9
"3e",39,"3e_39",-15.175,55.897
"3e",40,"3e_40",-15.176,55.895
"3e",41,"3e_41",-15.181,55.889
"3e",42,"3e_42",-15.183,55.888
"3e",43,"3e_43",-15.185,55.885
"3e",44,"3e_44",-15.186,55.884
"3e",45,"3e_45",-15.189,55.881
"3e",46,"3e_46",-15.19,55.88
"3e",47,"3e_47",-15.191,55.878
"3e",48,"3e_48",-15.192,55.878
"3e",49,"3e_49",-15.2,55.868
"3e",50,"3e_50",-15.2,55.85
"3e",51,"3e_51",-15.216,55.85
"4",1,"4_1",-14.925,55.7
"4",2,"4_2",-14.925,55.725
"4",3,"4_3",-14.925,55.75
"4",4,"4_4",-14.925,55.775
"4",5,"4_5",-14.95,55.775
"4",6,"4_6",-14.975,55.775
"4",7,"4_7",-14.975,55.8
"4",8,"4_8",-14.975,55.825
"4",9,"4_9",-15,55.825
"4",10,"4_10",-15.025,55.825
"4",11,"4_11",-15.05,55.825
"4",12,"4_12",-15.075,55.825
"4",13,"4_13",-15.075,55.8
"4",14,"4_14",-15.075,55.775
"4",15,"4_15",-15.075,55.75
"4",16,"4_16",-15.075,55.725
"4",17,"4_17",-15.05,55.725
"4",18,"4_18",-15.025,55.725
"4",19,"4_19",-15.025,55.7
"4",20,"4_20",-15,55.7
"4",21,"4_21",-14.95,55.7
"4",22,"4_22",-14.925,55.7
"5",1,"5_1",-14.575,56.25
"5",2,"5_2",-14.575,56.25
"5",3,"5_3",-14.575,56.225
"5",4,"5_4",-14.55,56.225
"5",5,"5_5",-14.525,56.225
"5",6,"5_6",-14.5,56.225
"5",7,"5_7",-14.475,56.225
"5",8,"5_8",-14.475,56.25
"5",9,"5_9",-14.475,56.275
"5",10,"5_10",-14.475,56.3
"5",11,"5_11",-14.475,56.325
"5",12,"5_12",-14.45,56.325
"5",13,"5_13",-14.425,56.325
"5",14,"5_14",-14.425,56.35
"5",15,"5_15",-14.425,56.375
"5",16,"5_16",-14.425,56.4
"5",17,"5_17",-14.425,56.4
"5",18,"5_18",-14.45,56.4
"5",19,"5_19",-14.45,56.35
"5",20,"5_20",-14.5,56.35
"5",21,"5_21",-14.5,56.3
"5",22,"5_22",-14.55,56.3
"5",23,"5_23",-14.55,56.25
"5",24,"5_24",-14.575,56.25
"6",1,"6_1",-14.775,55.75
"6",2,"6_2",-14.775,55.775
"6",3,"6_3",-14.8,55.775
"6",4,"6_4",-14.825,55.775
"6",5,"6_5",-14.85,55.775
"6",6,"6_6",-14.875,55.775
"6",7,"6_7",-14.875,55.75
"6",8,"6_8",-14.875,55.725
"6",9,"6_9",-14.875,55.7
"6",10,"6_10",-14.85,55.7
"6",11,"6_11",-14.85,55.75
"6",12,"6_12",-14.8,55.75
"6",13,"6_13",-14.775,55.75
"7",1,"7_1",-15.225,55.6
"7",2,"7_2",-15.225,55.625
"7",3,"7_3",-15.25,55.625
"7",4,"7_4",-15.275,55.625
"7",5,"7_5",-15.3,55.625
"7",6,"7_6",-15.3,55.65
"7",7,"7_7",-15.325,55.65
"7",8,"7_8",-15.35,55.65
"7",9,"7_9",-15.35,55.625
"7",10,"7_10",-15.35,55.6
"7",11,"7_11",-15.3,55.6
"7",12,"7_12",-15.25,55.6
"7",13,"7_13",-15.225,55.6
"8",1,"8_1",-15.125,55.65
"8",2,"8_2",-15.125,55.675
"8",3,"8_3",-15.125,55.7
"8",4,"8_4",-15.125,55.725
"8",5,"8_5",-15.15,55.725
"8",6,"8_6",-15.175,55.725
"8",7,"8_7",-15.2,55.725
"8",8,"8_8",-15.225,55.725
"8",9,"8_9",-15.225,55.7
"8",10,"8_10",-15.225,55.675
"8",11,"8_11",-15.225,55.65
"8",12,"8_12",-15.225,55.625
"8",13,"8_13",-15.2,55.625
"8",14,"8_14",-15.2,55.65
"8",15,"8_15",-15.15,55.65
"8",16,"8_16",-15.125,55.65
"9",1,"9_1",-15.375,55.6
"9",2,"9_2",-15.375,55.625
"9",3,"9_3",-15.4,55.625
"9",4,"9_4",-15.425,55.625
"9",5,"9_5",-15.426,55.625
"9",6,"9_6",-15.426,55.624
"9",7,"9_7",-15.428,55.622
"9",8,"9_8",-15.43,55.62
"9",9,"9_9",-15.431,55.618
"9",10,"9_10",-15.437,55.612
"9",11,"9_11",-15.438,55.611
"9",12,"9_12",-15.44,55.608
"9",13,"9_13",-15.442,55.606
"9",14,"9_14",-15.447,55.6
"9",15,"9_15",-15.4,55.6
"9",16,"9_16",-15.375,55.6
"10",1,"10_1",-15.45,55.596
"10",2,"10_2",-15.451,55.595
"10",3,"10_3",-15.452,55.594
"10",4,"10_4",-15.454,55.591
"10",5,"10_5",-15.455,55.59
"10",6,"10_6",-15.459,55.585
"10",7,"10_7",-15.461,55.583
"10",8,"10_8",-15.463,55.58
"10",9,"10_9",-15.464,55.579
"10",10,"10_10",-15.473,55.568
"10",11,"10_11",-15.474,55.567
"10",12,"10_12",-15.475,55.565
"10",13,"10_13",-15.475,55.55
"10",14,"10_14",-15.45,55.55
"10",15,"10_15",-15.45,55.596
"11",1,"11_1",-15.5,55.5
"11",2,"11_2",-15.5,55.525
"11",3,"11_3",-15.5,55.534
"11",4,"11_4",-15.503,55.53
"11",5,"11_5",-15.504,55.529
"11",6,"11_6",-15.506,55.526
"11",7,"11_7",-15.507,55.525
"11",8,"11_8",-15.516,55.514
"11",9,"11_9",-15.517,55.512
"11",10,"11_10",-15.519,55.51
"11",11,"11_11",-15.52,55.508
"11",12,"11_12",-15.524,55.503
"11",13,"11_13",-15.525,55.502
"11",14,"11_14",-15.526,55.5
"11",15,"11_15",-15.526,55.5
"11",16,"11_16",-15.5,55.5
"12",1,"12_1",-2.15,44.775
"12",2,"12_2",-2.125,44.775
"12",3,"12_3",-2.125,44.8
"12",4,"12_4",-2.125,44.825
"12",5,"12_5",-2.125,44.85
"12",6,"12_6",-2.125,44.875
"12",7,"12_7",-2.15,44.875
"12",8,"12_8",-2.175,44.875
"12",9,"12_9",-2.2,44.875
"12",10,"12_10",-2.225,44.875
"12",11,"12_11",-2.25,44.875
"12",12,"12_12",-2.275,44.875
"12",13,"12_13",-2.275,44.85
"12",14,"12_14",-2.25,44.85
"12",15,"12_15",-2.25,44.8
"12",16,"12_16",-2.2,44.8
"12",17,"12_17",-2.15,44.8
"12",18,"12_18",-2.15,44.775
"13",1,"13_1",-2.1,43.975
"13",2,"13_2",-2.1,43.975
"13",3,"13_3",-2.125,43.975
"13",4,"13_4",-2.15,43.975
"13",5,"13_5",-2.175,43.975
"13",6,"13_6",-2.175,43.95
"13",7,"13_7",-2.175,43.925
"13",8,"13_8",-2.2,43.925
"13",9,"13_9",-2.225,43.925
"13",10,"13_10",-2.25,43.925
"13",11,"13_11",-2.275,43.925
"13",12,"13_12",-2.275,43.9
"13",13,"13_13",-2.275,43.875
"13",14,"13_14",-2.275,43.85
"13",15,"13_15",-2.275,43.825
"13",16,"13_16",-2.25,43.825
"13",17,"13_17",-2.225,43.825
"13",18,"13_18",-2.2,43.825
"13",19,"13_19",-2.175,43.825
"13",20,"13_20",-2.175,43.85
"13",21,"13_21",-2.175,43.875
"13",22,"13_22",-2.15,43.875
"13",23,"13_23",-2.125,43.875
"13",24,"13_24",-2.1,43.875
"13",25,"13_25",-2.075,43.875
"13",26,"13_26",-2.05,43.875
"13",27,"13_27",-2.025,43.875
"13",28,"13_28",-2.025,43.9
"13",29,"13_29",-2.025,43.9
"13",30,"13_30",-2.05,43.9
"13",31,"13_31",-2.1,43.9
"13",32,"13_32",-2.1,43.95
"13",33,"13_33",-2.1,43.975
"14",1,"14_1",-2.15,43.725
"14",2,"14_2",-2.15,43.725
"14",3,"14_3",-2.125,43.725
"14",4,"14_4",-2.1,43.725
"14",5,"14_5",-2.075,43.725
"14",6,"14_6",-2.075,43.75
"14",7,"14_7",-2.075,43.775
"14",8,"14_8",-2.075,43.8
"14",9,"14_9",-2.075,43.825
"14",10,"14_10",-2.1,43.825
"14",11,"14_11",-2.125,43.825
"14",12,"14_12",-2.15,43.825
"14",13,"14_13",-2.175,43.825
"14",14,"14_14",-2.175,43.8
"14",15,"14_15",-2.175,43.775
"14",16,"14_16",-2.175,43.75
"14",17,"14_17",-2.15,43.75
"14",18,"14_18",-2.15,43.725
"15",1,"15_1",-2,43.875
"15",2,"15_2",-2,43.875
"15",3,"15_3",-2.025,43.875
"15",4,"15_4",-2.025,43.85
"15",5,"15_5",-2.025,43.825
"15",6,"15_6",-2.025,43.8
"15",7,"15_7",-2.025,43.775
"15",8,"15_8",-2,43.775
"15",9,"15_9",-2,43.8
"15",10,"15_10",-2,43.85
"15",11,"15_11",-2,43.875
"16",1,"16_1",-2.25,44.275
"16",2,"16_2",-2.225,44.275
"16",3,"16_3",-2.2,44.275
"16",4,"16_4",-2.175,44.275
"16",5,"16_5",-2.175,44.3
"16",6,"16_6",-2.175,44.325
"16",7,"16_7",-2.175,44.35
"16",8,"16_8",-2.175,44.375
"16",9,"16_9",-2.2,44.375
"16",10,"16_10",-2.225,44.375
"16",11,"16_11",-2.25,44.375
"16",12,"16_12",-2.25,44.35
"16",13,"16_13",-2.25,44.3
"16",14,"16_14",-2.25,44.275
"17",1,"17_1",-2.825,45.05
"17",2,"17_2",-2.825,45.075
"17",3,"17_3",-2.825,45.1
"17",4,"17_4",-2.825,45.125
"17",5,"17_5",-2.85,45.125
"17",6,"17_6",-2.875,45.125
"17",7,"17_7",-2.9,45.125
"17",8,"17_8",-2.925,45.125
"17",9,"17_9",-2.925,45.1
"17",10,"17_10",-2.925,45.075
"17",11,"17_11",-2.925,45.05
"17",12,"17_12",-2.9,45.05
"17",13,"17_13",-2.85,45.05
"17",14,"17_14",-2.825,45.05
"18",1,"18_1",-2.625,43.55
"18",2,"18_2",-2.625,43.575
"18",3,"18_3",-2.625,43.6
"18",4,"18_4",-2.625,43.625
"18",5,"18_5",-2.65,43.625
"18",6,"18_6",-2.675,43.625
"18",7,"18_7",-2.7,43.625
"18",8,"18_8",-2.725,43.625
"18",9,"18_9",-2.725,43.6
"18",10,"18_10",-2.725,43.575
"18",11,"18_11",-2.75,43.575
"18",12,"18_12",-2.775,43.575
"18",13,"18_13",-2.8,43.575
"18",14,"18_14",-2.825,43.575
"18",15,"18_15",-2.85,43.575
"18",16,"18_16",-2.875,43.575
"18",17,"18_17",-2.9,43.575
"18",18,"18_18",-2.925,43.575
"18",19,"18_19",-2.95,43.575
"18",20,"18_20",-2.975,43.575
"18",21,"18_21",-2.975,43.55
"18",22,"18_22",-2.95,43.55
"18",23,"18_23",-2.9,43.55
"18",24,"18_24",-2.85,43.55
"18",25,"18_25",-2.8,43.55
"18",26,"18_26",-2.75,43.55
"18",27,"18_27",-2.75,43.5
"18",28,"18_28",-2.725,43.5
"18",29,"18_29",-2.725,43.525
"18",30,"18_30",-2.7,43.525
"18",31,"18_31",-2.7,43.525
"18",32,"18_32",-2.7,43.55
"18",33,"18_33",-2.65,43.55
"18",34,"18_34",-2.625,43.55
"19",1,"19_1",-3.6,45.625
"19",2,"19_2",-3.575,45.625
"19",3,"19_3",-3.575,45.6
"19",4,"19_4",-3.575,45.575
"19",5,"19_5",-3.55,45.575
"19",6,"19_6",-3.525,45.575
"19",7,"19_7",-3.5,45.575
"19",8,"19_8",-3.475,45.575
"19",9,"19_9",-3.475,45.6
"19",10,"19_10",-3.475,45.625
"19",11,"19_11",-3.475,45.65
"19",12,"19_12",-3.475,45.65
"19",13,"19_13",-3.5,45.65
"19",14,"19_14",-3.5,45.675
"19",15,"19_15",-3.525,45.675
